id,ID,X,Y,ELEVATION,NAME,FNAME,STATION_TYP,geometry
myGeographyPortal.35,B1VEJATT,17.6697,48.8553,961.0,Velká Javořina,Velká Javořina,TOTAL,POINT (17.6697 48.8553)
myGeographyPortal.147,C1BRZKTT,13.4892,48.9547,1154.0,Březník,"Březník, Hraniční slať",TOTAL,POINT (13.4892 48.9547)
myGeographyPortal.154,C1FILHTT,13.5192,49.0294,1112.0,Filipova Huť,Filipova Huť,TOTAL,POINT (13.5192 49.0294)
myGeographyPortal.165,C1KNSTTT,14.0119,48.8472,1126.0,Knížecí Stolec,Knížecí Stolec,TOTAL,POINT (14.0119 48.8472)
myGeographyPortal.167,C1KPLATT,13.625,48.9572,1018.0,Knížecí Pláně,"Knížecí Pláně, Borová Lada",TOTAL,POINT (13.625 48.9572)
myGeographyPortal.175,C1PLCHTT,13.851601,48.771198,1344.0,Plechý,"Plechý, Trojmezí",TOTAL,POINT (13.851601 48.771198)
myGeographyPortal.176,C1POLETT,13.3958,49.0642,1312.0,Poledník,Poledník,TOTAL,POINT (13.3958 49.0642)
myGeographyPortal.180,C1ROSLTT,13.4167,49.0156,1096.0,Rokytská slať,Rokytská slať,TOTAL,POINT (13.4167 49.0156)
myGeographyPortal.236,C2POHSTT,14.7028,48.6044,932.0,Pohoří na Šumavě,Pohoří na Šumavě,TOTAL,POINT (14.7028 48.6044)
myGeographyPortal.349,L1CERCTT,12.785182,49.384633,1016.0,Čerchov,"Čerchov, Čerchov",TOTAL,POINT (12.785182 49.384633)
myGeographyPortal.356,L1JEZHTT,13.184692,49.168686,1343.0,Jezerní hora,Jezerní hora,TOTAL,POINT (13.184692 49.168686)
myGeographyPortal.362,L1MARATT,13.73075,49.58855,782.0,Marásek,"Marásek, Marásek na Bůrku",TOTAL,POINT (13.73075 49.58855)
myGeographyPortal.367,L1PANCTT,13.252276,49.17722,1189.0,Pancíř,Pancíř,TOTAL,POINT (13.252276 49.17722)
myGeographyPortal.434,L3LYSITT,12.651237,50.022636,980.0,Lysina,Lysina,TOTAL,POINT (12.651237 50.022636)
myGeographyPortal.455,O1CANTTT,18.7958,49.6792,974.0,Velká Čantoryje,Velká Čantoryje,TOTAL,POINT (18.7958 49.6792)
myGeographyPortal.464,O1GRUNTT,18.495,49.4908,855.0,Gruň,"Gruň, Kozlena",TOTAL,POINT (18.495 49.4908)
myGeographyPortal.485,O1KLINTT,17.1967,50.12,1099.0,Malý Klín,Malý Klín,TOTAL,POINT (17.1967 50.12)
myGeographyPortal.513,O1ROPITT,18.5597,49.6169,880.0,Ropička,Ropička,TOTAL,POINT (18.5597 49.6169)
